Asset_ID,Asset_Type,Acquisition_Date,Acquisition_Cost,Depreciation_Method,Depreciation_Rate,Book_Value,Useful_Life,Years_in_Service,Maintenance_Cost,Repair_Frequency,Condition_Score,Utilization_Percentage,Retired
A001,Vehicle,2013-11-28,157822,Declining Balance,5,72100.87,29,10,10538,8,6,28,0
A002,Building,2010-02-19,66069,Straight-Line,12,-49987.99,15,14,12575,15,5,66,0
A003,Building,2005-11-15,200866,Declining Balance,14,-330741.0,13,18,9931,8,4,53,1
A004,Building,2008-02-05,138396,Straight-Line,12,-138608.33,5,16,13790,7,1,36,1
A005,Equipment,2008-04-01,125850,Straight-Line,10,-82130.05,25,16,16170,11,5,75,0
A006,Machine,2006-12-23,198059,Straight-Line,9,-119231.52,13,17,4990,0,2,66,1
A007,Equipment,2024-04-30,123316,Straight-Line,5,120630.08,5,0,9666,9,4,19,0
A008,Building,2007-08-05,134911,Declining Balance,19,-305556.78,30,17,729,8,4,60,0
A009,Vehicle,2015-11-09,23813,Declining Balance,13,-3785.29,25,8,12925,1,3,38,1
A010,Furniture,2012-08-04,117564,Declining Balance,14,-82919.66,16,12,1211,5,10,1,0
A011,Building,2018-10-18,187046,Declining Balance,13,41816.31,11,5,19160,0,3,21,1
A012,Building,2005-02-15,138972,Declining Balance,6,-24893.12,24,19,8563,8,2,84,1
A013,Furniture,2011-02-15,102202,Straight-Line,8,-9396.98,18,13,17483,14,1,49,1
A014,Building,2012-05-23,35787,Straight-Line,14,-26243.15,29,12,11417,7,8,2,0
A015,Vehicle,2021-02-24,245710,Straight-Line,20,67990.99,17,3,19589,0,9,8,0
A016,Machine,2015-07-24,204010,Declining Balance,18,-134232.99,21,9,14136,6,8,58,0
A017,Building,2010-03-22,244449,Straight-Line,15,-289186.52,8,14,7144,13,1,46,1
A018,Building,2022-07-24,185464,Straight-Line,20,103656.59,11,2,13938,1,10,6,0
A019,Furniture,2016-01-11,195624,Straight-Line,14,-43809.06,9,8,4061,3,2,30,1
A020,Furniture,2022-12-18,183477,Declining Balance,14,137170.42,10,1,16908,4,9,29,0
A021,Furniture,2009-11-28,243227,Straight-Line,16,-335293.42,5,14,18597,9,4,33,1
A022,Machine,2014-03-02,79500,Straight-Line,8,12049.15,17,10,18412,10,5,78,0
A023,Furniture,2023-06-18,194999,Declining Balance,20,144138.99,25,1,14084,9,9,7,0
